lemma,pos
sign,noun|verb
silver,adjective|noun
simple,adjective
since,conjunction|preposition
singing,noun
single,adjective|noun
sir,noun
site,noun
size,noun
ski,adjective|noun|verb
skiing,noun
skin,noun
sky,noun
sleep,noun
slowly,adverb
smartphone,noun
smell,noun|verb
smile,noun|verb
smoke,noun|verb
smoking,noun
soap,noun
soccer,noun
social,adjective
society,noun
sock,noun
soft,adjective
soldier,noun
solution,noun
solve,verb
somewhere,adverb|pronoun
sort,noun
source,noun
speaker,noun
specific,adjective
speech,noun
speed,noun
spider,noun
spoon,noun
square,adjective|noun
stage,noun
stair,noun
stamp,noun
star,verb
start,noun
state,noun
stay,noun
steal,verb
step,noun
stomach,noun
stone,noun
store,noun
storm,noun
straight,adjective|adverb
strange,adjective
strategy,noun
stress,noun|verb
structure,noun
stupid,adjective
succeed,verb
successful,adjective
such,determiner|pronoun
suddenly,adverb
suggest,verb
suggestion,noun
suit,noun
support,noun|verb
suppose,verb
sure,adverb
surprise,noun|verb
surprised,adjective
surprising,adjective
survey,noun
sweet,adjective|noun
symbol,noun
system,noun
tablet,noun
talk,noun
target,noun
task,noun
taste,noun|verb
teaching,noun
technology,noun
teenage,adjective
temperature,noun
term,noun
text,verb
themselves,pronoun
thick,adjective
thief,noun
thin,adjective
thinking,noun
third,noun
thought,noun
throw,verb
tidy,adjective|verb
tie,noun|verb
tip,noun
tool,noun
top,adjective|noun
touch,verb
tour,noun
tourism,noun
towards,preposition
towel,noun
tower,noun
toy,adjective|noun
track,noun
tradition,noun
traditional,adjective
train,verb
trainer,noun
training,noun
transport,noun
traveller,noun
trouble,noun
truck,noun
twin,adjective|noun
typical,adjective
underground,adjective|adverb
understanding,noun
unfortunately,adverb
unhappy,adjective
uniform,noun
unit,noun
united,adjective
unusual,adjective
upstairs,adjective
use,noun
used to,modal verb
user,noun
usual,adjective
valley,noun
van,noun
variety,noun
vehicle,noun
view,noun
virus,noun
voice,noun
wait,noun
war,noun
wash,noun
washing,noun
wave,noun
weak,adjective
web,noun
wedding,noun
weight,noun
welcome,noun
wet,adjective
wheel,noun
while,conjunction
whole,adjective
whose,determiner|pronoun
wide,adjective
wild,adjective
wind,noun
winner,noun
wish,noun|verb
wood,noun
wooden,adjective
working,adjective
worried,adjective
worry,verb
worse,adjective
worst,adjective
wow,exclamation
yet,adverb
yours,pronoun
zero,number
